"Topic","TitleText","TitleLink","PDFText","PDFLink","AbstractText","AuthorText"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Genotypic and environmental variability of yield for cultivars from 30 different crops in German official variety trials","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0523.2008.01564.x","[PDF] researchgate.net","https://www.researchgate.net/profile/Friedrich-Laidig/publication/229771405_Genotypic_and_environmental_variability_of_yield_for_cultivars_from_30_different_crops_in_German_official_variety_trials/links/5daec1d192851c577eb98635/Genotypic-and-environmental-variability-of-yield-for-cultivars-from-30-different-crops-in-German-official-variety-trials.pdf","… Data: Yield data from official German variety trials of 30 crops were used in this investigation(Table 1) subdivided into six groups: cereals, maize, oilseed and protein crops, sugar beets, …","F Laidig, T Drobek, U Meyer"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The pluricentricity debate: On Austrian German and other Germanic standard varieties","https://www.taylorfrancis.com/books/mono/10.4324/9780429031496/pluricentricity-debate-stefan-dollinger","[PDF] academia.edu","https://www.academia.edu/download/99599250/PCD_ch.1_9_TOC_Index.pdf","… benefit the speakers and learners of the varieties we deal with. If some of our … Germandialectology we have reached that point in what has been called the “problem” of national varieties…","S Dollinger"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)",""" Standard usage"": towards a realistic conception of spoken standard German","https://ids-pub.bsz-bw.de/frontdoor/index/index/docId/1059","[PDF] bsz-bw.de","https://ids-pub.bsz-bw.de/files/1059/Deppermann_Kleiner_Knoebl_Standard_usage_2013.pdf","… linguistic Variation conducted at the Institute for the German Language (project “Variation inSpoken German”, Variation des gesprochenen Deutsch) … usage’ in Contemporary German, It …","A Deppermann, S Kleiner, R Knöbl"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Breeding progress, environmental variation and correlation of winter wheat yield and quality traits in German official variety trials and on-farm during 1983 …","https://link.springer.com/article/10.1007/s00122-016-2810-3"," "," ","Key message Over the last 32 years, a large gain in grain yield (24 %) was achieved inofficial German variety trials, and despite considerable loss in protein concentration (−7.9 %), …","F Laidig, HP Piepho, D Rentel, T Drobek…"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The grammar and typology of plural noun inflection in varieties of German","https://link.springer.com/article/10.1007/s10828-009-9030-z","[PDF] free.fr","http://emig.free.fr/ALSACE/pdf/Wiese-2009.pdf","… This paper discusses varieties of German with … German by means of both prosodic as wellas morphological principles, it is argued that final schwa in plural nouns of Standard German …","R Wiese"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Dissecting genetic and non-genetic sources of long-term yield trend in German official variety trials","https://link.springer.com/article/10.1007/s00122-014-2275-1","[PDF] researchgate.net","https://www.researchgate.net/profile/Friedrich-Laidig/publication/297759111_Genetic_and_non-genetic_long-term_trends_of_12_different_crops_in_German_official_variety_performance_trials_and_on-farm_yield_trends/links/56e2f27708ae387a2483a897/Genetic-and-non-genetic-long-term-trends-of-12-different-crops-in-German-official-variety-performance-trials-and-on-farm-yield-trends.pdf","… datasets from German registration … variety trial data, and considering the complementationof long-term analyses with yield trials contemporaneously evaluating old and new varieties. …","HP Piepho, F Laidig, T Drobek, U Meyer"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Intonation in German","http://wwwhomes.uni-bielefeld.de/gibbon/Dafydd_Gibbon_Publication_PDFs/1998_Gibbon_German_Intonation_1998.pdf","[PDF] uni-bielefeld.de","http://wwwhomes.uni-bielefeld.de/gibbon/Dafydd_Gibbon_Publication_PDFs/1998_Gibbon_German_Intonation_1998.pdf","… German dialects which underwent the High German Consonant Shift in the early MiddleAges. The pronunciation of Standard German is … Standard German is a superstrate which is …","D Gibbon"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Genetic and non-genetic long-term trends of 12 different crops in German official variety performance trials and on-farm yield trends","https://link.springer.com/article/10.1007/s00122-014-2402-z"," "," ","… released varieties for 12 crops from official German trials … the contribution made by newvarieties and by agronomic factors. … year of testing of a particular variety, were estimated from the …","F Laidig, HP Piepho, T Drobek, U Meyer"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","German pitches in English: Production and perception of cross-varietal differences in L2","https://www.cambridge.org/core/journals/bilingualism-language-and-cognition/article/german-pitches-in-english-production-and-perception-of-crossvarietal-differences-in-l2/83831AFC3A666B21E3328F906544CD45","[PDF] academia.edu","https://www.academia.edu/download/38487728/BLC_Ulbrich_German_pitches.pdf","… of two German varieties, Northern Standard German (NG) and Swiss German (SG), on the… in the realisation of nuclear pitch accents in L1 German and L2 English produced by the two …","C Ulbrich"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","A cross-linguistic study of self-repair: Evidence from English, German, and Hebrew","https://www.sciencedirect.com/science/article/pii/S037821661000041X","[PDF] researchgate.net","https://www.researchgate.net/profile/Barbara-Fox-2/publication/223774820_A_cross-linguistic_study_of_self-repair_Evidence_from_English_German_and_Hebrew/links/5c45dc92299bf12be3d8dfeb/A-cross-linguistic-study-of-self-repair-Evidence-from-English-German-and-Hebrew.pdf","… the time, while German speakers make less frequent … German speakers make much lessuse of subject pronoun as a destination of recycling. Third, we found that Hebrew and German …","BA Fox, Y Maschler, S Uhmann"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The Basic Variety (or: Couldn't natural languages be much simpler?)","https://journals.sagepub.com/doi/abs/10.1191/026765897666879396","[PDF] mpg.de","https://pure.mpg.de/rest/items/item_81885/component/file_1084614/content","… The BV is thus a linguistic object, and the crosslinguistic generalizations we have madeare first and foremost linguistic. Basic child grammar on the other hand is a linguistic-conceptual …","W Klein, C Perdue"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Linguistic norms at school: A survey of secondary-school teachers in a central german dialect area","https://www.jstor.org/stable/40504581"," "," ","… A sociolingu for its vagueness: the German language is n rules, but an abstraction thatacquires con social and situative varieties, and a variety th one region or amongst one social …","WV Davies"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","German","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315644936-5/german-john-hawkins","[PDF] escholarship.org","https://escholarship.org/content/qt2cb8w2c8/qt2cb8w2c8.pdf","… as 3 million listed as speaking a Central German dialect ‘Hunsrückisch’ ultimately from …German varieties, however); USA (1.1 million, plus 118,000 speakers of the West Central German …","JA Hawkins"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The structure of German","https://books.google.com/books?hl=de&lr=&id=AwZREAAAQBAJ&oi=fnd&pg=PR5&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=JLviFCiDMN&sig=8O8R7QImZIC0cyWCmS1P9m1obZw"," "," ","… In the present book the focus of our attention is the German language rather than linguistic… But since our aim is to describe German in terms of currently accepted linguistic theory, it is …","A Fox"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Communicative styles in a contact situation: Two German national varieties in a third country","https://www.cambridge.org/core/journals/journal-of-germanic-linguistics/article/communicative-styles-in-a-contact-situation-two-german-national-varieties-in-a-third-country/E221635F001D9DBE01DF9F056DAA1151","[PDF] academia.edu","https://www.academia.edu/download/46629347/Communicative_Styles_in_a_Contact_Situat20160619-6973-114ijsy.pdf","… variety and the most powerful national variety of German, namely Austrian German andGerman German … Convergence in this case means that speech acts in one variety are realized …","M Clyne, S Fernandez, R Muhr"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Breeding progress, genotypic and environmental variation and correlation of quality traits in malting barley in German official variety trials between 1983 and …","https://link.springer.com/article/10.1007/s00122-017-2967-4"," "," ","… malting quality of 187 varieties tested and released in German registration trials to evaluate… to 1983, nearly completely due to new varieties. Total variability of individual traits was very …","F Laidig, HP Piepho, D Rentel, T Drobek…"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","A typology of relative clauses in German dialects","https://www.degruyter.com/document/doi/10.1515/9783110197327.211/pdf?licenseType=restricted"," "," ","… When it comes to the dialects, we can observe two major differences from StandardGerman: First, in many German varieties, the accusative and dative merged in a great many …","J Fleischer"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Divergence of dialects in a linguistic laboratory near the Belgian–Dutch–German border: Similar dialects under the influence of different standard languages","https://www.cambridge.org/core/journals/language-variation-and-change/article/divergence-of-dialects-in-a-linguistic-laboratory-near-the-belgiandutchgerman-border-similar-dialects-under-the-influence-of-different-standard-languages/AEBBF35A60A9D880F50D0180D7F9AE79","[PDF] academia.edu","https://www.academia.edu/download/76256001/gerritsen-19991.pdf","… since it deepens our insight into the stability of linguistic elements by showing us whichelements are more susceptible to influence from another variety and which are less so. There are …","M Gerritsen"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","VOT or quantity: What matters more for the voicing contrast in German regional varieties? Results from apparent-time analyses","https://www.sciencedirect.com/science/article/pii/S0095447017301845"," "," ","… In conclusion, the perception data from both regional varieties suggests that dialectal tracesare more marked in older listeners and that the standard German voicing contrast stabilizes …","F Kleber"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","German Today: an areally extensive corpus of spoken Standard German","https://ids-pub.bsz-bw.de/frontdoor/index/index/docId/4127","[PDF] bsz-bw.de","https://ids-pub.bsz-bw.de/files/4127/Brinckmann_Kleiner_Knoebl_Berend_German_Today_an_areally_extensive_corpus_of_spoken_Standard_German_2008.pdf","… By restricting the social variables in this way we aim to homogenize the participants’ linguisticbackground, ruling out effects of mobility as far as possible. We do this because we aim to …","C Brinckmann, S Kleiner, R Knöbl…"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","A quantitative approach to Swiss German–Dialectometric analyses and comparisons of linguistic levels","https://www.degruyter.com/document/doi/10.1515/dialect-2016-0006/html","[PDF] uzh.ch","https://www.zora.uzh.ch/id/eprint/129551/1/129551.pdf","… A special focus is put on the comparison of different linguistic levels (lexis, phonology, … thelinguistic levels), correlations (between pairs of linguistic levels and between linguistic levels …","Y Scherrer, P Stoeckle"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Effect of high molecular weight glutenins and D-zone gliadins on bread-making quality in German wheat varieties","https://link.springer.com/article/10.1007/BF03543592"," "," ","… This result is also consistent with our correlation, using the German wheat varieties. Allinvestigated varieties, which possess the 1 BU1 RS translocation, do not have Gli-A 1 gliadins. …","V Brönneke, G Zimmermann, B Killermann"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The German language: a linguistic introduction","https://books.google.com/books?hl=de&lr=&id=1bfhc0gX_TYC&oi=fnd&pg=PR5&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=qdVXQ7QInm&sig=CoCveluhlqpaPBAvkZkML7iP5Ww"," "," ","… are usually regarded as varieties of German, we find that … from the German side of theDutch–German border and one … in this important sense the North German and the Dutch speaker …","J Boase"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Deixis and anaphora in German dialects: The semantics and pragmatics of two definite articles in dialectal varieties","https://www.torrossa.com/gs/resourceProxy?an=5002505&publisher=FZ4850#page=194"," "," ","… For various reasons I consider the study of dialects in German—as in other languages as …be a variety of a given lan guage among other varieties of that language. Dialectal varieties are …","D Hartmann"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","TIGER: Linguistic interpretation of a German corpus","https://link.springer.com/article/10.1007/s11168-004-7431-3","[PDF] uni-potsdam.de","https://www.uni-potsdam.de/fileadmin/projects/peter-eisenberg-schriften/PDFs/Eisenberg_Brants_Dipper_Hansen-Schirra_K%C3%B6nig_Lezius_Rohrer_Smith_Uszkoreit_2004__TIGER-Linguistic-Interpretation-of-a-German-Corpus.pdf","… of currently 40,000 syntactically annotated German newspaper sentences. We describe …scheme and we illustrate in detail the linguistic extensions that were made concerning the …","S Brants, S Dipper, P Eisenberg…"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Abstracts in German medical journals: A linguistic analysis","https://www.sciencedirect.com/science/article/pii/030645739500024B","[PDF] academia.edu","https://www.academia.edu/download/105747236/0306-457328952900024-b20230915-1-bso3oy.pdf","… and linguistic devices of German abstracts and their English equivalents, written by Germanmedical … The source material is a corpus of 20 abstracts taken from German medical journals …","IA Busch"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","A methodological study into the linguistic dimensions of pitch range differences between German and English.","https://eresearch.qmu.ac.uk/handle/20.500.12289/2008","[PDF] qmu.ac.uk","https://eresearch.qmu.ac.uk/bitstream/handle/20.500.12289/2008/mennen.pdf?sequence=1","… German (NSG), as it is often assumed that speakers of SSBE have a wider pitch range thanspeakers of NSG [4]. Using the linguistic … We therefore suggest that more suitable linguistic …","I Mennen, F Schaeffler…"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Nitrogen fixation and assimilation efficiency in Ethiopian and German pea varieties","https://link.springer.com/article/10.1023/A:1015048331366","[PDF] academia.edu","https://www.academia.edu/download/73788406/a_3A101504833136620211028-6693-c24vp1.pdf","… As compared to the Ethiopian cultivars, the German variety displayed a more rapid … fixationin the German variety declined sharply, while continuing in the Ethiopian varieties. Lowest C …","E Adgo, J Schulze"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","“This migrants' babble is not a German dialect!”: The interaction of standard language ideology and 'us'/'them'dichotomies in the public discourse on a multiethnolect","https://www.cambridge.org/core/journals/language-in-society/article/this-migrants-babble-is-not-a-german-dialect-the-interaction-of-standard-language-ideology-and-usthem-dichotomies-in-the-public-discourse-on-a-multiethnolect/C9391497E2B43D83D537F265DD1B023C","[PDF] cambridge.org","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C9391497E2B43D83D537F265DD1B023C/S0047404515000226a.pdf/this-migrants-babble-is-not-a-german-dialect-the-interaction-of-standard-language-ideology-and-usthem-dichotomies-in-the-public-discourse-on-a-multiethnolect.pdf","… German’ is commonly used for an idealised standard variety, … a High rather than Low Germanvariety, where high and low … character of the High German dialect region, which is towards …","H Wiese"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Diversity and contestation in linguistic ideologies: German speakers in Hungary","https://www.cambridge.org/core/journals/language-in-society/article/diversity-and-contestation-in-linguistic-ideologies-german-speakers-in-hungary/4B06F639507696B5C3B1B8BF251D8788","[PDF] academia.edu","https://www.academia.edu/download/96295555/S004740450001727920221224-1-180e5l1.pdf","… I consider the linguistic census first as a mirror of dominant policy toward German-Hungarians;then as evidence of contestation, of how elites fought over the construction of nationality …","S Gal"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Varieties of transition: the East European and East German experience","https://books.google.com/books?hl=de&lr=&id=tlsiuMSEoq4C&oi=fnd&pg=PP9&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=ART2MBPpln&sig=RfPqQCAKQhxRI1yBtgYZUPCZppM"," "," ","Claus Offe has spent most of his career analyzing the inner workings (and nonworkings) ofWestern democracies. After the upheavals of the late 1980s, however, his attention was …","C Offe"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Varieties of feminism: German gender politics in global perspective","https://www.degruyter.com/document/doi/10.1515/9780804780520/html"," "," ","… transformations of German feminism in comparative perspective, this book illuminatesdifferences in liberal and socialist frames for women's progress, and highlights the variety of ways …","M Ferree"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Linguistic development in social contexts: A study of two brothers learning German","https://onlinelibrary.wiley.com/doi/abs/10.1111/1540-4781.00176","[PDF] researchgate.net","https://www.researchgate.net/profile/Melanie-Schneider-7/publication/227689233_Linguistic_Development_in_Social_Contexts_A_Study_of_Two_Brothers_Learning_German/links/6356f2c98d4484154a2d59b0/Linguistic-Development-in-Social-Contexts-A-Study-of-Two-Brothers-Learning-German.pdf","… in German. The data reveal that preferred interactional strategies led to differences inlinguistic choices, and hence, to differences in opportunities for linguistic practice. In this sense, …","C Bongartz, ML Schneider"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The syntax and semantics of indefinite determiner doubling constructions in varieties of German","https://link.springer.com/article/10.1007/s10828-008-9019-z","[PDF] dialectsyntax.org","http://www.dialectsyntax.org/mediawiki/images/0/0d/Abstract_Kallulli-Rothmayr.pdf","… described so far for other varieties of German in this respect, we will not dwell on them indetail. It is worth mentioning, however, that Swiss German varieties exhibit yet another pattern …","D Kallulli, A Rothmayr"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Cross-linguistic corpora for the study of translations: Insights from the language pair English-German","https://books.google.com/books?hl=de&lr=&id=CSCjbgLV01UC&oi=fnd&pg=PP5&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=b7FUdAK1H5&sig=VrYJsFs5-WrOPrq3WvB4ulWd4zs"," "," ","… Sprachenpaar EnglischDeutsch (‘Linguistic properties of … -German’) nicknamed CroCo (forCross-linguistic Corpora) by a team fond of herding exotic fauna. It was funded by the German …","S Hansen"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Motion events in Turkish-German contact varieties","https://www.torrossa.com/gs/resourceProxy?an=5015541&publisher=FZ4850#page=126"," "," ","… the L2 German by native speakers of Turkish and how they differ in their preferences frommonolingual speakers of German. I show that there are subtle differences between varieties in …","J Goschler"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Linguistic purism in action: How auxiliary tun was stigmatized in Early New High German","https://books.google.com/books?hl=de&lr=&id=WK3GFyh2dqsC&oi=fnd&pg=PP13&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=5_8Yy_rpA9&sig=XCKBEBWYWEexmEUFO-oXipgMgUA"," "," ","… German (1680-1740) and finally to"" bad"" German in general (after 1740), thus providingevidence that the history of the standardization of German … The effectiveness of linguistic purism …","N Langer"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Developing grammars: The acquisition of German syntax by foreign workers","https://books.google.com/books?hl=de&lr=&id=4ZlyBgAAQBAJ&oi=fnd&pg=PT10&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=9Y23OBLvHC&sig=ZWhQGTFDbbCugWfLat_lOt3k0l8"," "," ","… is a variety of German and that Dutch is an independent language isarbitrary from a linguistic… grammar for just one variety, but rathera grammar (orgrammars) for all varieties of a given …","WM Klein, N Dittmar"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Linguistic aspects of regression in German case marking","https://www.cambridge.org/core/journals/studies-in-second-language-acquisition/article/linguistic-aspects-of-regression-in-german-case-marking/82315694AD11CA621C034E6FA63B41D4","[PDF] researchgate.net","https://www.researchgate.net/profile/Kees-De-Bot/publication/231853995_Linguistic_Aspects_of_Regression_in_German_Case_Marking/links/02e7e53cdf514a4e83000000/Linguistic-Aspects-of-Regression-in-German-Case-Marking.pdf","… b Hence, the Linguistic Hypothesis predicts that in the first phase of lang namely, thereduction to a two-state system, the accusative form will those cases where in German a dative is …","P Jordens, K De Bot, H Trapman"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The German Reference Corpus DeReKo: A primordial sample for linguistic research","https://core.ac.uk/download/pdf/83652760.pdf","[PDF] core.ac.uk","https://core.ac.uk/download/pdf/83652760.pdf","… There is a large variety of other research scenarios which … guage use between regionalvarieties of written German (eg, … As for the variety of German newspapers and magazines, the …","M Kupietz"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Lexical and semantic representation of the linguistic and cultural concept “Rest” in the English, German, and Russian languages","https://www.redalyc.org/journal/310/31057290011/31057290011.pdf","[PDF] redalyc.org","https://www.redalyc.org/journal/310/31057290011/31057290011.pdf","… English, German and Russian preemies, which verbalize the value part of the linguistic and… The subject of the study is the semantic content of these preemies in the English, German …","IN Novikova, LG Popova, LM Shatilova, EV Biryukova…"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The German language in a changing Europe","https://books.google.com/books?hl=de&lr=&id=sCKrYdBoYFgC&oi=fnd&pg=PR11&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=1-XFgoe93J&sig=fR1fhjSZ3854OrN2azhrA6Qwpkk"," "," ","… various national varieties of German; the … variety of Standard German with which its peopleidentify, as well as regional and local varieties, whose status and relation to Standard German …","MG Clyne"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Towards measures of complexity: Applying structural and linguistic metrics to German laws","https://ebooks.iospress.nl/doi/10.3233/978-1-61499-468-8-153","[PDF] tum.de","https://wwwmatthes.in.tum.de/file/1w4qwtvn2juy6/Sebis-Public-Website/-/Towards-Measures-of-Complexity-Applying-Structural-and-Linguistic-Metrics-to-German-Laws/Wa14c.pdf","… and linguistic complexity indicators in German legal texts … RQ3 How does the variety of thevocabulary contribute to the … It can be seen from two points of view: the quantitative linguistic …","B Waltl, F Matthes"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Evidentiality in German: Linguistic realization and regularities in grammaticalization","https://www.degruyter.com/document/doi/10.1515/9783110241037.bm/html"," "," ","1. We would like to thank an anonymous reviewer whose insightful comments were of greathelp in making the book as good as we could. This book is the final outcome of a research …","G Diewald, E Smirnova"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Integration of syntactic and semantic information in predictive processing: Cross-linguistic evidence from German and English","https://link.springer.com/article/10.1023/A:1021933015362","[PDF] researchgate.net","https://www.researchgate.net/profile/Christoph-Scheepers/publication/10846038_Integration_of_Syntactic_and_Semantic_Information_in_Predictive_Processing_Cross-Linguistic_Evidence_from_German_and_English/links/09e4150f8242eba8f6000000/Integration-of-Syntactic-and-Semantic-Information-in-Predictive-Processing-Cross-Linguistic-Evidence-from-German-and-English.pdf","… Nonetheless, we believe that our cross-linguistic study suggests that integrating informationacross multiple sources during sentence processing is not without cost, even if the source of …","Y Kamide, C Scheepers, GTM Altmann"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Regional variation and edges: Glottal stop epenthesis and dissimilation in standard and southern varieties of German","https://www.degruyter.com/document/doi/10.1515/zfsw.2001.20.1.3/html","[PDF] degruyter.com","https://www.degruyter.com/document/doi/10.1515/zfsw.2001.20.1.3/pdf","… varieties of German. Thus, glottal stop epenthesis is limited to edges of morphemes in SouthernGerman, but not in Standard German … German, though not in some Southern varieties. I …","B Al"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Linguistic relativity versus innate ideas: The origins of the Sapir-Whorf hypothesis in German thought","https://books.google.com/books?hl=de&lr=&id=cla1BwAAQBAJ&oi=fnd&pg=PA9&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=Yog6hq6iMm&sig=3herk9J4M6o7mU2__rv0b3mm-YQ"," "," ","The present study was completed essentially as it now stands in 1966. Relevant studiescompleted up to that time were reviewed and their findings incorporated to the extent that they …","JM Penn"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","Variation in German: A critical approach to German sociolinguistics","https://books.google.com/books?hl=de&lr=&id=BFr2IjGftNMC&oi=fnd&pg=PR10&dq=(German+OR+Deutsch)+AND+(linguistic+OR+varieties+OR+variety)&ots=X-7vZd6T4n&sig=_7asd_EIjOgfHST9Rtmjenh8bHo"," "," ","… For instance, many rural varieties of German may be little understood by German-speakersfrom other regions. Speakers of standard English can encounter this problem with some …","S Barbour, P Stevenson"
"(German OR Deutsch) AND (linguistic OR varieties OR variety)","The HMW glutenin subunit and gliadin compositions of German‐grown wheat varieties and their relationship with bread‐making quality","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0523.1989.tb00356.x"," "," ","… a limited range of HMW glutenin subunits are also seen in these varieties. It may, therefore,be beneficial to widen the germplasm base of new German varieties, introducing alleles pre- …","WJ Rogers, PI Payne, K Harinder"
